ï»¿"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"SBIN","EQ","18-Jul-2024","880.70","880.65","894.90","877.50","892.50","893.55","889.57","1,94,35,183","17,28,89,90,051.00","3,80,546","97,83,181","50.34"
"SBIN","EQ","19-Jul-2024","893.55","895.00","899.00","883.30","889.50","889.35","890.65","1,45,62,742","12,97,02,54,056.15","3,16,170","61,76,654","42.41"
"SBIN","EQ","22-Jul-2024","889.35","881.45","895.00","868.00","878.00","876.80","881.14","1,46,14,111","12,87,71,04,621.30","2,83,608","60,01,817","41.07"
"SBIN","EQ","23-Jul-2024","876.80","883.00","884.50","849.10","864.20","863.90","868.80","1,82,79,212","15,88,10,66,151.40","3,82,383","51,95,965","28.43"
"SBIN","EQ","24-Jul-2024","863.90","864.20","868.00","847.20","853.95","852.00","854.85","1,96,24,845","16,77,63,15,258.25","3,22,758","55,23,383","28.14"
"SBIN","EQ","25-Jul-2024","852.00","847.50","850.75","841.20","848.95","848.50","846.52","95,22,375","8,06,09,16,692.50","1,80,539","28,90,970","30.36"
"SBIN","EQ","26-Jul-2024","848.50","844.65","864.25","844.00","859.95","862.45","857.50","1,20,81,506","10,35,98,63,504.15","1,99,144","41,91,872","34.70"
"SBIN","EQ","29-Jul-2024","862.45","866.05","889.10","863.20","871.00","871.60","877.20","2,65,82,781","23,31,85,20,569.70","3,80,412","79,77,605","30.01"
"SBIN","EQ","30-Jul-2024","871.60","874.70","880.55","869.00","871.65","872.80","874.10","1,35,28,447","11,82,51,52,187.65","2,32,883","36,28,977","26.82"
"SBIN","EQ","31-Jul-2024","872.80","873.85","874.95","868.00","874.40","872.40","871.25","1,16,36,874","10,13,85,73,730.25","1,85,998","43,19,188","37.12"
"SBIN","EQ","01-Aug-2024","872.40","877.80","881.40","859.45","861.90","862.65","870.65","1,17,87,203","10,26,25,15,137.00","1,72,670","54,70,508","46.41"
"SBIN","EQ","02-Aug-2024","862.65","856.70","858.30","846.15","847.75","847.85","850.62","1,26,09,331","10,72,57,42,695.20","2,53,151","50,63,625","40.16"
"SBIN","EQ","05-Aug-2024","847.85","830.00","831.35","800.00","810.00","811.65","815.37","2,76,76,951","22,56,70,00,834.00","5,39,085","1,22,48,505","44.26"
"SBIN","EQ","06-Aug-2024","811.65","822.65","826.55","795.65","799.75","797.70","810.02","1,79,00,930","14,50,00,66,261.55","3,30,145","68,96,556","38.53"
"SBIN","EQ","07-Aug-2024","797.70","809.00","810.70","800.55","809.95","808.65","805.90","1,76,92,355","14,25,81,83,262.40","2,81,837","66,59,048","37.64"
"SBIN","EQ","08-Aug-2024","808.65","812.00","817.80","802.80","808.15","808.05","809.92","1,47,69,069","11,96,17,21,510.05","2,40,989","48,73,913","33.00"
"SBIN","EQ","09-Aug-2024","808.05","816.00","829.95","809.55","825.00","824.30","819.02","1,53,20,885","12,54,81,31,438.55","2,12,970","62,12,277","40.55"
"SBIN","EQ","12-Aug-2024","824.30","820.60","823.00","811.20","813.00","812.60","815.34","1,61,20,449","13,14,36,24,493.80","2,50,757","77,79,273","48.26"
"SBIN","EQ","13-Aug-2024","812.60","813.50","820.00","795.05","797.00","797.55","807.01","1,75,85,172","14,19,14,44,287.00","3,22,018","97,31,151","55.34"
"SBIN","EQ","14-Aug-2024","797.55","800.95","809.15","800.40","803.20","803.00","803.92","1,17,88,665","9,47,71,00,413.75","2,36,789","43,92,805","37.26"
"SBIN","EQ","16-Aug-2024","803.00","803.00","814.90","803.00","811.40","812.10","810.05","1,14,27,335","9,25,67,64,911.30","2,51,297","37,33,766","32.67"
